Ключ,Значение,Название,Варианты,Пояснение,Не встречается
刀,меч,かたな,,"Древняя пиктограмма изображала нож. В современном языке иероглиф@@@ произошедший от этой пиктограммы@@@ обозначает: «нож@@@ бритва@@@ меч@@@ сечка@@@ резак@@@ резец@@@ в форме ножа (о каком-либо предмете)». В старину этот иероглиф обозначал медные деньги@@@ которые были в форме ножа.
Иероглиф «нож» является сильным ключевым знаком@@@ располагается обычно в правой части сложных иероглифов в видоизмененной форме 刂.",
力,сила,ちから ,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «сила»@@@ изображала руку с напрягшими-ся мускулами.
Иероглиф употребляется также в значениях: «способность@@@ воздействие@@@ энергия@@@ насилие@@@ принуждение@@@ трудовая повинность@@@ отработка» и др.
Иероглиф «сила» является сильным ключевым знаком@@@ причем может быть расположен в любой части сложных иероглифов.",
勹,оборачивать@@@ заворачивать,つつみがまえ,,"Древняя пиктограмма изображала нагнувшегося человека@@@ который собирается что-либо взять в охапку.
Современный иероглиф обозначает «обматывать@@@ завертывать».
В качестве ключевого знака используется редко.",
匕,ложка,さじ,,"Древняя пиктограмма изображала сидящего на земле человека.
В современном языке иероглиф имеет значения: «короткий клинок@@@ наконечник стрелы@@@ кинжал». Современный иероглиф «сидящий чело-
век» употребляется крайне редко.",
匚,коробка,はこがまえ,,"Древний рисунок изображал некую коробку для вещей.
В современном языке иероглиф употребляется в значениях: «коробка@@@ футляр@@@ ящик».
В качестве ключевого знака иероглиф «коробка» употребляется сравнительно редко.",
匸,прятать,かくしがまえ,,"Древний рисунок-идеограмма изображал некую вещь@@@ нечто@@@ спрятанное под крышкой или покрывалом (горизонтальная черта).
В современном языке иероглиф употребляется в значениях: «прятать@@@ содержать@@@ таить в себе».
В качестве ключевого знака иероглиф «прятать» употребляется сравнительно редко.",
十,десять,じゅう,,"Древний рисунок-идеограмма изображал стороны или направления: с севера на юг (вертикальная черта) и с востока на запад (горизонтальная черта)@@@ т.е. все стороны или направления или «десять» (в значении «много»).
В современном языке иероглиф употребляется в значениях: «десять@@@ десятикратный@@@ вдесятеро» и т.д.@@@ а также «много@@@ все».
В качестве ключевого знака иероглиф «десять» малоупотребителен.",
卜,волшебная палочка,ぼく,,"Древний рисунок изображал трещину от раскаленных щипцов на панцире черепахи при гадании.
В современном языке иероглиф употребляется в значениях: «гадать на панцире черепахи@@@ гадать@@@ предсказывать@@@ предрекать@@@ предугадывать@@@ предвидеть».
В качестве ключевого знака иероглиф «гадать» малоупотребителен.",
卩,печать@@@ сучок,ふしづくり,,"На древней пиктограмме был изображен сидящий чело-век@@@ подогнувший ноги под себя (в старину в Китае вытягивать ноги перед собой или свешивать вниз считалось неприличным).
Пиктограмма послужила основой двум иероглифам@@@ которые означают:  «бутон@@@ почка» и «колено». Может иметь более длинный хвост (например 厄).
Иероглифы примечательны тем@@@ что являются одинаковым ключевым знаком@@@ который в словарях находится под номером одним номером.",
厂,утёс,がんだれ,,"Иероглиф@@@ произошедший от древней пиктограммы@@@ изображавшей склон горы@@@ имеет значения «крутой берег»@@@ «обрыв»@@@ «круча».
Самостоятельно употребляется довольно редко.",
厶,личный@@@ я,む,,"Древний знак@@@ которым обозначалось слово «личный»@@@ изображал@@@ очевидно@@@ нос или ухо человека.
В современном языке иероглиф имеет значения «личный@@@ частный@@@ некто@@@ нечто».
В качестве ключевого знака иероглиф «личный» малоупотребителен.",
又,при этом@@@ кроме того,また,,"На древней пиктограмме «ладонь» пальцы показаны условно@@@ таким образом внимание концентрировалось на кисти руки.
в современном языке иероглиф в первоначальном значении практически не употребляется (может обозначать «правая рука») и используется в качестве наречий: «снова@@@ вновь@@@ опять@@@ еще раз@@@ сверх того@@@ в придачу» и др.@@@ а также некоторых союзных слов.
В качестве ключевого знака иероглиф «ладонь» малоупотребителен.",
口,рот,くち,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф@@@ изображала открытый рот человека.
В современном языке иероглиф «рот» имеет также значения: «уста@@@ губы@@@ морда»@@@ «отверстие@@@ дыра@@@ прореха@@@ пробоина@@@ жерло (орудия)@@@ горлышко (сосуда)»@@@ «устье@@@ гавань@@@ порт»@@@ «вход@@@ выход@@@ проход»@@@ «слова@@@ речь@@@ ораторское искусство» и др.
Иероглиф «рот» - сильный ключевой знак.",
囗,граница,くにがまえ,,"Древний рисунок символизировал ограду@@@ крепостные стены города или границы государства.
Самостоятельно иероглиф «ограда» используется для замены пропущенного в тексте иероглифа или вместо иероглифов с большим количеством черт внутри: «окружность» или «страна».
В качестве ключевого знака иероглиф «ограда» применяется сравнительно редко.",
土,земля,つち,,"Древняя пиктограмма холма или бугра послужила основой для возникновения иероглифа «земля».
Самостоятельно иероглиф употребляется в значениях «земля»@@@ «почва»@@@ «участок земли»@@@ «местность»@@@ «территория».
Это сильный ключевой знак@@@ являющийся составной частью многих иероглифов@@@ остальные элементы сложного иероглифа конкретизируют или уточняют смысл целого@@@ так или иначе связанного с землей.",
士,самурай,さむらい,,"Древняя идеограмма «воин@@@ самурай» изображала единицу - горизонтальная черта и десять - пересечение черт@@@ те. воин@@@ самурай должен уметь исполнять десять дел (от одного до десяти). По другой версии@@@ горизонтальные черты - земля и люди. Вертикальная черта обозначает человека@@@ который на голову выше других@@@ т.е. самурай@@@ феодал.
Современный иероглиф используется в значениях: «самурай@@@ служилое сословие@@@ солдаты@@@ чиновник»@@@ «мужчина@@@ молодой человек»@@@ а также является родовой морфемой@@@ обозначающей профессии интеллектуального труда.
В качестве ключевого знака иероглиф «воин» малоупотребителен.",
夂,зима,のまた,,"Древняя идеограмма «начинать@@@ приступать» связана с изображением человека@@@ причем дополнительная черта указывала на действие ног@@@ что обозначало «следовать по пятам».
Самостоятельно иероглиф не употребляется.
В качестве ключевого знака иероглиф «начинать@@@ приступать» малоупотребителен. Пишется в верхней части иероглифа.",
夊,медленно идти@@@ волочить ноги,なつあし ,,"Древняя идеограмма «волочить ноги» связана с изображением человека@@@ причем дополнительная черта@@@ пересекающая ноги и руки@@@ обозначала «не спеша идти@@@ Волочить».
Самостоятельно иероглиф не употребляется.
В качестве ключевого знака иероглиф «волочить ноги»малоупотребителен. Пишется в нижней части иероглифа.",
夕,вечер,ゆうべ,,"Как говорилось ранее@@@ рисунок серпа молодой луны был основой возникновения иероглифа «вечер».
Более позднее начертание пиктограммы несколько отличается от «луны». Этим рисунком древние китайцы хотели@@@ скорее всего@@@ изобразить светило@@@ уходящее за склон горы@@@ тем самым обозначив наступление темноты.
Самостоятельно иероглиф употребляется в значении «вечер».
Как правило@@@ он является составной частью более сложных иероглифов@@@ редко являясь ключевым.",
大,большой,だい,,"Древний рисунок@@@ от которого произошел современный иероглиф «большой»@@@ изображала высокого человека.
Иероглиф имеет много значений: «большой@@@ крупный@@@ огромный»@@@ «грубый@@@ толстый@@@ широкий»@@@ «сильный@@@ мощный@@@ громкий»@@@ «первый@@@ старший@@@ уважаемый@@@ почетный»@@@ «крупный@@@ влиятельный@@@ могущественный»@@@ «великий» в названиях государств) и др.
Иероглиф «большой» - сильный ключевой знак@@@ входящий в состав многих иероглифов.",
女,женщина,おんな,,"Китайская иероглифика возникла в период патриархального строя@@@ и@@@ наверное@@@ поэтому древний рисунок женщины изображает ее сидящей с покорно сложенными перед грудью руками.
Современный иероглиф употребляется в значениях: «женщина@@@ девушка@@@ девица@@@ барышня@@@ дочь»@@@ «молодой@@@ маленький@@@ гибкий@@@ изящный»@@@ «женить@@@ служить».
Иероглиф «женщина» - сильный ключевой знак.",
子,ребёнок,こ,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «ребенок»@@@ изображала малыша с поднятыми вверх руками.
В современном языке иероглиф используется в значениях: «сын@@@ дочь@@@ потомок@@@ дитя@@@ детеныш»@@@ «плод@@@ семя@@@ яйцо@@@ икра»@@@ «проценты@@@ доход@@@ прибыль» и др.
В качестве ключевого знака иероглиф «ребенок» употребляется редко.",
宀,крыша,うかんむり,,"Древняя пиктограмма «крыша» представляла собой изображение конструкции дома в разрезе.
В современном языке иероглиф@@@ произошедший от этой пиктограммы@@@ используется в значениях «крыша дома@@@ здание@@@ строение».
Иероглиф «крыша» - сильный ключевой знак.",
寸,дюйм@@@ сун,すん,,"Древняя пиктограмма «вершок» - кисть руки с нанесенной на нее отметкой@@@ фиксирующей древнюю меру длины. С другой стороны@@@ рисунок обозначает место@@@ где меряют пульс.
Современный иероглиф употребляется в значениях: «кусочек@@@ чуточка@@@ крошечный@@@ ничтожно малый»@@@ «место биения пульса».
В качестве ключевого иероглифа «вершок» малоупотребителен.",
小,маленький,しょう,⺌,"Древняя идеограмма@@@ от которой произошел иероглиф «маленький»@@@ изображала нечто небольшое@@@ разделенное пополам или на три части.
В современном языке иероглиф имеет также значения: «мелкий@@@ небольшой@@@ малочисленный@@@ короткий@@@ тонкий»@@@ «частный@@@ ограниченный@@@ грубый@@@ простой» и др.
В качестве ключевого знака иероглиф «маленький» малоупотребителен.",
尢,хромая нога,だいのまげあし,,"Древняя пиктограмма@@@ явившаяся основой современно-го иероглифа «ошибка»@@@ изображала человека@@@ который оступился и подвернул себе ногу.
Иероглиф имеет также значения «калека@@@ колченогий@@@ кривоногий@@@ хилый@@@ слабый».
В качестве ключевого знака иероглиф малоупотребителен.",
尸,труп,しかばね,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «труп»@@@ изображала неподвижно лежащего ничком человека.
Иероглиф употребляется также в значениях: «ритуальная статуя@@@ икона»@@@ «лежать раскинувшись»@@@ «возглавлять@@@ ведать@@@ распоряжаться»@@@ «принимать на себя@@@ нести ответственность»@@@ «попусту занимать (место)@@@ напрасно@@@ зря».
В качестве ключевого знака иероглиф «труп» используется сравнительно редко.",
屮,росток,くさのめ,,"Иероглиф «росток»@@@ «побег» произошел от древней пиктограммы@@@ изображавшей только что пробившийся на свет тонкий стебелек растения.
Самостоятельно иероглиф употребляется только в этих значениях.
В качестве ключевого знака используется лишь в нескольких иероглифах.",
山,гора,やま,,"Иероглиф «гора» произошел от рисунка@@@ на котором древние китайцы изобразили гору с тремя вершинами@@@ хотя вполне возможно@@@ что прообразом современного иероглифа стало изображение горы и деревьев@@@ растущих на ней (в переносном смысле иероглиф обозначает «лес»).
Самостоятельно иероглиф употребляется в значениях: «гора»@@@ «рудник»@@@ «прииск»@@@ «копи»@@@ «груда»@@@ «куча».
«Гора» - сильный ключевой знак@@@ который в составе сложного иероглифа вносит какое-либо из перечисленных выше значений.",
川,извилистая река,まがりがわ,巛,"Разливы рек часто были причиной стихийных бедствий@@@ поэтому изображение водного потока@@@ реки древние китайцы выделили в отдельный знак.
Таким образом появился иероглиф «река». В качестве ключевого знака он употребляется редко@@@ иногда в несколько измененной форме 巛.",
工,рабочий@@@ навык,たくみ,,"Древняя идеограмма@@@ от которой произошел иероглиф «работа»@@@ имеет несколько толкований. Две горизонтальные черты - это два уровня@@@ вертикальная черта - специальный строительный отвес для точности измерения. Все вместе обозначает «работу». По другой вер-сии@@@ две горизонтальные черты - земля и небо. Вертикальная - человек. Т.е. предназначение человека между землей и небом состоит в совершении какой-либо деятельности или «работы».
В современном языке иероглиф имеет также значения: «труд@@@ строительство@@@ ремесло@@@ мастерство» и др.
В качестве ключевого знака иероглиф «работа» мало-употребителен.",
己,сам@@@ змея,おのれ,,"Древняя пиктограмма из-за своей простоты имеет несколько толкований. По одной версии@@@ это изображение змеи@@@ по другой - шелковая нить.
В современном языке иероглиф используется в значениях: «сам@@@ себя@@@ самолично»@@@ «управлять@@@ приводить в порядок@@@ устраивать@@@ налаживать».
В качестве ключевого знака иероглиф «сам» употребляется сравнительно редко.",
巾,одежда,はば,,"Древний рисунок@@@ от которого произошел иероглиф «платок»@@@ изображал наброшенное на плечи полотно.
Иероглиф употребляется также в значениях: «полотен-це@@@ головная повязка@@@ тюрбан@@@ шапочка»@@@ «покрывать@@@ одевать».
Иероглиф «платок» - сильный ключевой знак.",
干,сушить,かん,,"Древняя пиктограмма изображала используемый для защиты при боевых действиях щит воина.
В современном языке иероглиф@@@ произошедший от этой пиктограммы@@@ используется в значениях: «щит@@@ щиток (род мишени)@@@ шест@@@ жердь@@@ древко (флага)»@@@ а также «вмешиваться@@@ вторгаться@@@ затрагивать@@@ преступать@@@ нарушать» и др.
В качестве ключевого знака иероглиф «щит» малоупотребителен.",
幺,короткая нить,いとがしら,,"Древняя пиктограмма@@@ от которой произошел иероглиф «крошечный»@@@ изображала часть выделяемой гусеницей шелкопряда шелковинки.
В современном языке иероглиф имеет значения: «маленький@@@ крошечный@@@ один».
В качестве ключевого знака иероглиф «крошечный» малоупотребителен.",
广,наклонная крыша@@@ дом на скале,まだれ,,"Древняя пиктограмма «навес» практически осталась без изменений по сей день. Современный иероглиф употребляется в значениях «навес@@@ скат крыши».
Иероглиф «навес» является сильным ключевым знаком.",
廴,большой шаг,えんにょう,,"Древний рисунок@@@ который изображал часть улицы и след ноги@@@ стал прообразом иероглифа «продвигаться».
В современном языке иероглиф имеет также значение «тянуть@@@ растягивать».
В качестве ключевого знака иероглиф малоупотребителен.",
廾,две руки@@@ двадцать,にじゅうあし,,"Древняя пиктограмма «рука» послужила прообразом иероглифу-идеограмме@@@ который в современном языке обозначает «руки@@@ сложенные для приветствия».
В качестве ключевого знака иероглиф малоупотребителен.",
弋,копьё@@@ стрела@@@ церемония,いぐるみ,,"Древняя пиктограмма изображала старинное оружие «клевец» (багор на длинной рукоятке с поперечным лезвием). От нее произошел еще один иероглиф - «охотиться». В отличие от иероглифа «алебарда» поздняя форма иероглифа имела на одну черту меньше.
Самостоятельно иероглиф употребляется также в значениях: «стрелять@@@ добыть (на охоте)@@@ получить@@@ взять@@@ схватить@@@ поймать»@@@ «столбик@@@ колышек@@@ веха@@@ сеть» и др.
В качестве ключевого знака иероглиф «охотиться» малоупотребителен.",
弓,лук (оружие),ゆみ,,"Древний рисунок@@@ изображавший лук@@@ стал прообразом современного иероглифа@@@ который употребляется в значениях: «лук@@@ самострел@@@ гнутый@@@ изогнутый@@@ сводчатый»@@@ «стрелять из лука@@@ сгибать@@@ подгибать».
Иероглиф «лук» является сильным ключевым знаком.",
彐,голова свиньи,けいがしら,彑@@@ ⺕,"Иероглиф «свиная голова»@@@ несмотря на его малоупотребительность@@@ был выделен в самостоятельный ключевой знак. Как правило он располагается в верхней части сложных иероглифов.
Самостоятельно используется тоже редко.
В качестве ключа принимает также формы:
彑@@@ ⺕",
彡,щетина@@@ пучок волос,さんづくり,,"Современный иероглиф «пух» мало чем отличается от древней пиктограммы@@@ на которой китайцы изобразили три отдельные перышка.
Самостоятельно иероглиф употребляется в значениях «пух»@@@ «шерсть» и «штриховка».
В качестве ключевого знака иероглиф малоупотребителен.",
彳,шаг@@@ идти,ぎょうにんべん,,"Древняя пиктограмма@@@ от которой произошел иероглиф «шаг»@@@ изображала часть пересечения дорог.
В современном языке самостоятельно иероглиф употребляется в значении «шагнуть левой ногой».
Иероглиф «шаг» является сильным ключевым знаком.",
心,стоящее сердце,りっしんべん,忄,"Древняя пиктограмма «сердце» восходит к внешнему воспроизведению этого органа.
Современный иероглиф употребляется в значениях: «сердце@@@ сердечный@@@ душа@@@ дух»@@@ «грудь@@@ грудная полость»@@@ «ум@@@ интеллект@@@ рассудок@@@ мысль»@@@ «желания@@@ намерения@@@ настроения»@@@ «центр@@@ середина@@@ сердцевина»@@@ «воля@@@ решимость@@@ устремленность» и др.
Иероглиф «сердце» является сильным ключевым знаком. Может располагаться в левой части сложных знаков
в виде 忄.",
戈,алебарда,ほこ,,"Древняя пиктограмма изображала старинное оружие «клевец» (багор на длинной рукоятке с поперечным лезвием).
В современном языке иероглиф имеет также значения «копье@@@ алебарда»@@@ «воина@@@ столкновения@@@ стычки@@@ военные действия».
В качестве ключевого знака иероглиф «алебарда» малоупотребителен.",
戶,дверь,と,戸,"Рисунок одной створки обозначал «двор». Иероглиф@@@ произошедший от этой пиктограммы@@@ употребляется также в значениях: «дверь@@@ отверстие@@@ вход@@@ хозяйство@@@ семья@@@ род» и др.
В качестве ключевого знака иероглиф «двор» малоупотребителен.",
手,рука,てへん,扌,"Древняя пиктограмма «рука» представляла собой изображение пятипалой человеческой ладони.
В современном языке иероглиф используется в значениях: «рука@@@ руки@@@ кисть руки@@@ ладонь@@@ рука помощи@@@ подмога»@@@ «умение@@@ мастерство@@@ техника@@@ искусство»@@@ «мастер@@@ дока@@@ умелец» и др.
Иероглиф «рука» является сильным ключевым знаком@@@ входящим в состав многих иероглифов. Часто располагается слева в виде 扌.",
支,ветка,しにょう,,"Древняя пиктограмма изображала руку с палкой или бревном.
В современном языке этот рисунок стал прообразом иероглифа «подпорка@@@ колонна@@@ столб». Кроме данных значений он используется как «поддерживать@@@ держать@@@ подпирать»@@@ «рассчитывать@@@ вычислять@@@ подсчитывать» и др.
В качестве ключевого знака иероглиф «подпорка» употребляется редко.",
攵,складной стул@@@ деятельность,ぼくづくり,攵@@@攴,"Древняя пиктограмма изображала руку с палкой.
Современный иероглиф@@@ произошедший от нее@@@ употребляется в значении «ударять».
Иероглиф «ударять» является сильным ключевым знаком.",
文,предложение@@@ литература@@@ фраза,ぶん,,"Древняя пиктограмма «знак» изображала человека с татуировкой на груди.
Современный иероглиф употребляется в значениях: «письменность@@@ литература@@@ культура@@@ образование@@@ знания»@@@ «украшение@@@ отделка@@@ узор@@@ орнамент@@@ элегантность» и др.
В качестве ключевого знака иероглиф «знак» мало-употребителен.",
斗,ковш@@@ черпак,ますづくり,,"Древняя пиктограмма представляла собой некий ковш для измерения сыпучих и жидких тел.
Современный иероглиф@@@ произошедший от нее@@@ употребляется в значениях: «мера@@@ мерка@@@ ковш@@@ черпак@@@ чаша@@@ чашка@@@ сосуд».
В качестве ключевого знака иероглиф «мерка» мало-употребителен.",
斤,топор,おのづくり,,"Древняя пиктограмма изображала топор.
Современный иероглиф@@@ произошедший от нее@@@ употребляется в значениях: «топор@@@ секира@@@ рубить@@@ вес@@@ по весу». Кроме этого@@@ иероглиф входит в название товаров@@@ грузов@@@ измеряемых весом.
В качестве ключевого знака иероглиф «топор» малоупотребителен.",
方,направление@@@ сторона,ほう,,"Основой современного иероглифа «сторона@@@ квадрат» послужил рисунок двух лодок@@@ стоящих рядом. Изобразив стоящие рядом лодки@@@ древние китайцы передали понятие «сторона»@@@ т.е. сравнивать стороны. Вполне очевидно@@@ что еще одно значение этого иероглифа - «квадрат» - появилось в результате того@@@ что древние лодки имели четыре угла (форма прямоугольника).
В современном языке иероглиф употребляется в значениях: «квадрат@@@ сторона@@@ направление» и др.
В качестве ключевого знака иероглиф «сторона» малоупотребителен.",
无,не,むにょう,,"Древняя идеограмма@@@ от которой произошел современный иероглиф «ничто@@@ небытие»@@@ скорее всего была связана с условным изображением человека и черточек@@@ обозначающих небесные сферы. Одна из версий происхождения этого иероглифа гласит@@@ что верхняя основная часть знака связана с иероглифом 天 «небо» (в котором тоже присутствует изображение человека)@@@ в этом случае смысл идеограммы заключается в изображении небесного безвоздушного пространства или пустоты - «ничто». По другой версии@@@ две горизонтальные черты - небо@@@ в котором находится голова человека (нижний элемент знака)@@@ в этом случае передается смысл «небытие».
В качестве ключевого знака иероглиф «небытие» малоупотребителен.",
日,день@@@ солнце,ひ,,"Один из первых иероглифов@@@ которые изучают в Китае@@@ Японии или других странах@@@ куда проникла «китайская грамота»@@@ это иероглиф «солнце».
Древние китайцы рисовали солнечный диск с точкой посередине. Несколько позднее вместо точки появилась горизонтальная черта и более овальная форма.
С появлением кисти иероглиф стал похож на окошечко.
Так он выглядит и поныне@@@ обозначая собой «солнце» или слова@@@ связанные с ним по смыслу: «день»@@@ «воскресенье»@@@ «праздник»@@@ а также он стоит первым в названии Японии.
Иероглиф употребляется как самостоятельно@@@ так и в качестве составного элемента более сложных знаков@@@ как правило@@@ в качестве сильного ключевого элемента.",
曰,говорить,ひらび,,"Древняя пиктограмма «говорить» отличалась от рисунка «рот» тем@@@ что было отмечено присутствие языка во рту.
Современный иероглиф употребляется в значениях: «изрекать@@@ гласить@@@ зваться@@@ называться@@@ зовется@@@ именуется».
Внешне иероглиф похож на знак «солнце» (日).
В качестве ключевого знака иероглиф «говорить» употребляется редко.",
月,луна@@@ месяц,つき,,"Серп молодой луны стал исходным символом для возникновения двух различных иероглифов «луна» и «вечер».
Самостоятельно иероглиф «луна» употребляется в значениях «луна»@@@ «понедельник»@@@ «месяц»@@@ как в качестве светила@@@ так и в календаре: в этом случае перед иероглифом «месяц» ставится числительное.
В качестве ключевого элемента «луна» используется довольно редко@@@ обычно он стоит в левой части составного иероглифа и реже справа. В сокращенной форме его часто путают с иероглифом «мясо»@@@ который мы рассмотрим позже.",
木,дерево,き,,"Рисунок дерева изображал ствол@@@ корни и ветви.
На примере иероглифа-ключа «дерево» наглядно построение иероглифов-идеограмм@@@ о которых мы говорили в предисловии: два «дерева»@@@ объединенных в один знак - иероглиф «лес»@@@ три «дерева» - «чаща».
Самостоятельно иероглиф употребляется в двух значениях: дерево как растение и дерево - материал.
«Дерево» - один из самых употребительных ключевых знаков@@@ поскольку трудно представить себе область человеческой деятельности и жизни@@@ где бы оно не употреблялось@@@ что@@@ естественно@@@ нашло отражение в иероглифике.",
欠,недоставать,あくび,,"Современный иероглиф «зевать» произошел от древнего рисунка@@@ на котором был изображен человек с широко открытым ртом.
Кроме указанного выше значения иероглиф также означает: «недоставать@@@ не хватать»@@@ «задолжать@@@ быть в долгу».
В качестве ключевого знака иероглиф «зевать» мало-употребителен.",
止,остановиться,とめる,,"Изначально древняя пиктограмма «останавливаться»
представляла собой след человеческой ноги рядом с линией@@@ символизирующей поверхность земли.
В современном языке иероглиф имеет значения: «стоять@@@ останавливаться@@@ задерживаться»@@@ «воздерживаться@@@ прекращать@@@ обрывать»@@@ «остановка@@@ предел@@@ граница» и др.
В качестве ключевого знака иероглиф «стоять» малоупотребителен.",
歹,смерть,がつ,,"Древний знак@@@ изображавший кость@@@ явился праосновой современному иероглифу «останки».
Кроме этого значения иероглиф употребляется также в значениях «истлевшие кости»@@@ «мертвая кость» и в качестве прилагательных «дурной»@@@ «плохой»@@@ «злой»@@@ «порочный.
В качестве ключевого знака иероглиф «останки» используется редко.",
殳,оружие@@@ копье,るまた,,"Древний рисунок руки с палкой@@@ к которой прикреплен наконечник@@@ явился праосновой иероглифа «пика».
В современном языке иероглиф употребляется в значении «пика (бамбуковая)@@@ дреколье».
В качестве ключевого знака иероглиф «пика» употребляется редко.",
